Feature,Original_Mean,Synthetic_Mean,Original_Std,Synthetic_Std,Original_Min,Synthetic_Min,Original_Max,Synthetic_Max,Mean_Diff,Std_Diff,Range_Overlap,KS_Statistic,KS_PValue,KS_Similar,Original_Missing,Synthetic_Missing,Original_Unique,Synthetic_Unique
feature1,49.94451440918759,54.12599712336385,9.841936889704249,6.447456919308598,17.58732659930927,37.11940309879971,88.52731490654722,70.04697500982,4.181482714176262,3.3944799703956505,Yes,0.2633333333333333,8.852452382461114e-08,No,0,0,300,200
feature2,,,,,A,A,C,B,,,Yes,,,No,0,0,3,2
feature3,0.5033333333333333,0.495,0.5008242926709127,0.5012296437551299,0,0,1,1,0.008333333333333304,0.00040535108421724253,Yes,0.008333333333333333,1.0,Yes,0,0,2,2
target,0.4633333333333333,0.055,0.49948691623222674,0.22855235921889458,0,0,1,1,0.4083333333333333,0.27093455701333213,Yes,0.4083333333333333,2.2331229531587167e-18,No,0,0,2,2
