Model,Overall_Score,Statistical_Similarity,Classification_Ratio,Correlation_Preservation,Optimization_Time_min,Clinical_Recommendation
CopulaGAN,0.33536377583598004,0.5575450658499415,0,0.8816241238305544,2.899791498978933,Caution
GANerAid,0.33469889885078735,0.5574525669197038,0,0.8822513932495947,1.690464198589325,Caution
CTGAN,0.3308495533738441,0.5502589501078308,0,0.8819061953086189,3.056160243352254,Caution
TableGAN,0.330719573046658,0.5493529194646315,0,0.8833666541967105,2.9304813504219056,Caution
TVAE,0.33052521742605057,0.5493031077482664,0,0.8815182962111847,2.5283815185228984,Caution
