column,ks_statistic,ks_pvalue,emd_score,mse_stats,real_mean,synthetic_mean,mean_diff,real_std,synthetic_std
age,0.4506578947368421,8.67993381729947e-84,9.144073411556843,40.61359516280518,36.31853070175438,45.438114891714385,9.119584189960001,13.521001139835214,18.313866123650698
gender,0.023026315789473683,0.9691454551954491,0.023026315789473673,0.0001346980162989503,0.5515350877192983,0.5745614035087719,0.023026315789473673,0.4976099306830322,0.49468062251227984
rgn,0.03399122807017544,0.6681634037818568,0.033991228070175405,0.0003645025064631109,0.2894736842105263,0.25548245614035087,0.03399122807017546,0.45376694764541275,0.4363713608449119
wt,0.13157894736842105,2.6767923589853705e-07,3.5618520690531463,56.29645268992569,69.36315789473684,72.92500996378999,3.5618520690531454,12.170321736926711,13.883707297139873
bmi,0.12280701754385964,2.0690384677514104e-06,1.4002315822716438,7950.406869360262,25.62816447368421,26.569712600225653,0.9415481265414449,8.24765148592567,5.43029228378611
wst,0.20065789473684212,1.7935238240725097e-16,1.0997108732039593,124.23609506605183,35.46326754385965,35.02631832437742,0.43694921948223,3.8942266173147297,4.800627538342086
sys,0.1962719298245614,8.956247750598983e-16,4.776315789473684,312.7228800998205,129.64254385964912,124.88377192982456,4.758771929824562,19.760794248977806,18.26225825701906
dia,0.10855263157894737,4.237954381825864e-05,1.5712719298245617,36.08068104341175,82.34758771929825,82.63377192982456,0.28618421052631504,11.83117682218406,11.340439854662314
his,0.10855263157894737,4.237954381825864e-05,0.10855263157894735,0.0029576227685024423,0.5855263157894737,0.4769736842105263,0.10855263157894735,0.49290125142222013,0.49974356472220083
a1c,0.07785087719298246,0.007932209644852362,0.2310284852110899,3.2169968977228245,6.859923245614035,6.98153444346189,0.12161119784785512,2.1964965354687513,2.32676401771017
bsr,0.15899122807017543,1.7859404686080033e-10,13.610745614035087,142.7782584868175,165.47149122807016,167.39583333333334,1.9243421052631788,84.72708986598731,89.56547197255777
vision,0.07236842105263158,0.016827808418873068,0.07236842105263158,0.0013126578637584075,0.48903508771929827,0.5614035087719298,0.07236842105263153,0.5001540387058784,0.4964875568250193
exr,0.18640350877192982,2.9221172247010397e-14,2.935307017543861,294.0294184325497,14.429824561403509,14.529605263157896,0.09978070175438702,15.601848689044498,17.628599177327704
dipsia,0.0712719298245614,0.01943045048701957,0.07127192982456143,0.0013079411592752856,0.3793859649122807,0.4506578947368421,0.07127192982456138,0.48550047298115956,0.49783240941401313
uria,0.043859649122807015,0.3443826125757264,0.04385964912280704,0.0005287971199955152,0.32785087719298245,0.3717105263157895,0.04385964912280704,0.4696877395553157,0.4835268023417298
dur,0.4506578947368421,8.67993381729947e-84,0.38583011947774276,12.216929945547964,2.112938596491228,2.1967120633204393,0.08377346682921116,2.964895661540473,2.5782708441596527
neph,0.039473684210526314,0.47634352663312396,0.03947368421052633,0.0006320392943905815,0.17105263157894737,0.21052631578947367,0.0394736842105263,0.3767615624551832,0.4079061515905366
hdl,0.25548245614035087,1.4941967658917155e-26,3.3421052631578947,4.130733225651188,45.96052631578947,49.30263157894737,3.3421052631578974,6.8074166104476115,6.213055346083055
outcome,0.05592105263157895,0.1154476168196366,0.05592105263157898,0.0007935971340546215,0.5328947368421053,0.5888157894736842,0.05592105263157887,0.4991905169597508,0.49231851515571495
