Feature,Original_Mean,Synthetic_Mean,Original_Std,Synthetic_Std,Original_Min,Synthetic_Min,Original_Max,Synthetic_Max,Mean_Diff,Std_Diff,Range_Overlap,KS_Statistic,KS_PValue,KS_Similar,Original_Missing,Synthetic_Missing,Original_Unique,Synthetic_Unique
feature1,9.91845806965583,9.749900603294373,1.8620078304140026,0.569922567074319,4.760509791820511,8.545241355895996,15.440338333179238,11.158225059509277,0.16855746636145774,1.2920852633396835,Yes,0.295,4.448673570292354e-08,No,0,0,200,200
feature2,0.555,0.735,0.49821288662780494,0.44244069528493996,0.0,0.0,1.0,1.0,0.17999999999999994,0.055772191342864985,Yes,0.18,0.0030098470801667434,No,0,0,2,2
target,0.44,0.33,0.49763258630718094,0.47139267630753656,0.0,0.0,1.0,1.0,0.10999999999999999,0.026239909999644373,Yes,0.11,0.17793352788293415,Yes,0,0,2,2
