column,ks_statistic,ks_pvalue,emd_score,mse_stats,real_mean,synthetic_mean,mean_diff,real_std,synthetic_std
age,0.42214912280701755,3.1395994201266845e-73,9.950358112653097,231.84489655312393,36.31853070175438,37.731241014965796,1.412710313211413,13.521001139835214,2.586449004231323
gender,0.24780701754385964,5.459262352820237e-25,0.2478070175438597,0.015703472507360195,0.5515350877192983,0.30372807017543857,0.2478070175438597,0.4976099306830322,0.4601189706332017
rgn,0.2774122807017544,2.7152285638402044e-31,0.2774122807017544,0.048917544964157594,0.2894736842105263,0.01206140350877193,0.2774122807017544,0.45376694764541275,0.10921998949241817
wt,0.4067982456140351,7.1839234200352e-68,7.8886843681335455,572.2656234736966,69.36315789473684,67.3108319315994,2.0523259631374486,12.170321736926711,2.382862512934323
bmi,0.9956140350877193,0.0,47.8809104506844,3632.238159330019,25.62816447368421,73.27826420884384,47.65009973515963,8.24765148592567,14.898824413135292
wst,0.5701754385964912,3.454754282406058e-137,5.10602132897628,111.07289855358728,35.46326754385965,40.52962863654421,5.066361092684559,3.8942266173147297,2.6390675915900106
sys,0.6798245614035088,5.727958728211979e-201,21.360745614035086,1856.0880084770602,129.64254385964912,148.28179824561403,18.639254385964904,19.760794248977806,7.273591606130639
dia,0.6600877192982456,2.6491392670254056e-188,10.526315789473683,737.5313673088447,82.34758771929825,72.78618421052632,9.561403508771932,11.83117682218406,3.4225483859988657
his,0.044956140350877194,0.3154942506534582,0.044956140350877194,0.0005134533526144878,0.5855263157894737,0.5405701754385965,0.04495614035087714,0.49290125142222013,0.49862478662436466
a1c,0.5,5.4993143200044896e-104,1.6087286491770494,17.35891683022403,6.859923245614035,7.162336019570367,0.30241277395633226,2.1964965354687513,0.4312363695758154
bsr,0.6008771929824561,1.7090898051549193e-153,76.25438596491227,10977.427913803882,165.47149122807016,218.66447368421052,53.192982456140356,84.72708986598731,20.850503602816744
vision,0.22587719298245615,8.490379717849987e-21,0.22587719298245612,0.013642125047616267,0.48903508771929827,0.2631578947368421,0.22587719298245618,0.5001540387058784,0.4405889996239528
exr,0.731359649122807,8.066230210817044e-237,23.956140350877188,865.8013577617421,14.429824561403509,38.09649122807018,23.66666666666667,15.601848689044498,8.812568908695395
dipsia,0.36622807017543857,8.976424226096539e-55,0.36622807017543857,0.06803144176295803,0.3793859649122807,0.013157894736842105,0.3662280701754386,0.48550047298115956,0.11401323542459674
uria,0.3201754385964912,9.953001022141116e-42,0.3201754385964912,0.06217923557768841,0.32785087719298245,0.007675438596491228,0.3201754385964912,0.4696877395553157,0.08732059814499772
dur,0.793859649122807,1.8044744421674703e-286,5.397783175110817,32.640513724148505,2.112938596491228,7.433534007584839,5.320595411093612,2.964895661540473,1.9723224700459399
neph,0.16666666666666666,1.7927006893225592e-11,0.16666666666666663,0.031069380468577906,0.17105263157894737,0.0043859649122807015,0.16666666666666669,0.3767615624551832,0.06611748300647742
hdl,0.4133771929824561,3.8637266017849516e-70,4.74780701754386,92.6118698169639,45.96052631578947,46.046052631578945,0.08552631578947256,6.8074166104476115,1.1117898216592954
outcome,0.06469298245614036,0.04396683325220241,0.06469298245614036,0.001064516747126542,0.5328947368421053,0.5975877192982456,0.0646929824561403,0.4991905169597508,0.4906532451803302
