Feature,Original_Mean,Synthetic_Mean,Original_Std,Synthetic_Std,Original_Min,Synthetic_Min,Original_Max,Synthetic_Max,Mean_Diff,Std_Diff,Range_Overlap,KS_Statistic,KS_PValue,KS_Similar,Original_Missing,Synthetic_Missing,Original_Unique,Synthetic_Unique
feature1,9.91845806965583,9.900182123184203,1.8620078304140026,0.7870649587972492,4.760509791820511,7.756505012512207,15.440338333179238,11.759926795959473,0.018275946471627336,1.0749428716167535,Yes,0.215,0.00018395764501293307,No,0,0,200,200
feature2,0.555,0.865,0.49821288662780494,0.34258109849381085,0.0,0.0,1.0,1.0,0.30999999999999994,0.1556317881339941,Yes,0.31,6.865581733487208e-09,No,0,0,2,2
target,0.44,0.555,0.49763258630718094,0.49821288662780494,0.0,0.0,1.0,1.0,0.11500000000000005,0.0005803003206240054,Yes,0.115,0.1420746514551761,Yes,0,0,2,2
