column,ks_statistic,ks_pvalue,emd_score,mse_stats,real_mean,synthetic_mean,mean_diff,real_std,synthetic_std
age,0.36951754385964913,8.871274690564277e-56,5.494084708506183,104.89066235617636,36.31853070175438,38.361032377953066,2.0425016761986825,13.521001139835214,14.78072451928931
gender,0.05482456140350877,0.12896488031788417,0.054824561403508776,0.000753193519661596,0.5515350877192983,0.4967105263157895,0.054824561403508776,0.4976099306830322,0.5002635217516183
rgn,0.23026315789473684,1.326790451130311e-21,0.23026315789473684,0.013786986242043794,0.2894736842105263,0.5197368421052632,0.23026315789473684,0.45376694764541275,0.4998844398204939
wt,0.4901315789473684,9.558370318132009e-100,10.851077897798898,500.13132949967405,69.36315789473684,79.5656334775429,10.20247558280606,12.170321736926711,8.64752925401726
bmi,0.5910087719298246,3.963414630463351e-148,5.436921004877583,10038.67213655612,25.62816447368421,30.5225546375046,4.894390163820393,8.24765148592567,3.242572327586763
wst,0.4440789473684211,2.791210401224634e-81,3.315781600334192,150.66500831586748,35.46326754385965,38.72116025013259,3.2578927062729406,3.8942266173147297,4.330503331120812
sys,0.2543859649122807,2.515963671979433e-26,8.785087719298243,1092.0543349471704,129.64254385964912,137.62280701754386,7.98026315789474,19.760794248977806,22.505377955012285
dia,0.1600877192982456,1.2947224380173333e-10,4.350877192982456,8.228703550862164,82.34758771929825,82.4155701754386,0.06798245614035636,11.83117682218406,17.56791741150007
his,0.09210526315789473,0.0008670507144789717,0.09210526315789469,0.0021342763264885337,0.5855263157894737,0.4934210526315789,0.09210526315789475,0.49290125142222013,0.5002310402710951
a1c,0.39144736842105265,9.824584877147399e-63,1.3040797212358624,9.799774771750673,6.859923245614035,8.06205847270097,1.2021352270869352,2.1964965354687513,2.1488291966079496
bsr,0.4758771929824561,8.43655305265012e-94,74.09539473684211,6414.41795162754,165.47149122807016,234.29495614035088,68.82346491228071,84.72708986598731,84.6772503412506
vision,0.003289473684210526,1.0,0.003289473684210509,2.7061005907026816e-06,0.48903508771929827,0.4923245614035088,0.003289473684210509,0.5001540387058784,0.500215400287485
exr,0.44846491228070173,6.012235877982969e-83,25.24122807017544,218.3758468228554,14.429824561403509,39.671052631578945,25.24122807017544,15.601848689044498,30.976626502099528
dipsia,0.13706140350877194,6.935007564360933e-08,0.13706140350877194,0.004749042334779802,0.3793859649122807,0.5164473684210527,0.13706140350877194,0.48550047298115956,0.5000036108252541
uria,0.1600877192982456,1.2947224380173333e-10,0.1600877192982456,0.006638683550919206,0.32785087719298245,0.48793859649122806,0.1600877192982456,0.4696877395553157,0.500128769984047
dur,0.4067982456140351,7.1839234200352e-68,4.567982456140351,7.923570445978237,2.112938596491228,6.680921052631579,4.567982456140351,2.964895661540473,6.2554606683906515
neph,0.36293859649122806,8.878272151299843e-54,0.3629385964912281,0.03667381777344038,0.17105263157894737,0.5339912280701754,0.36293859649122806,0.3767615624551832,0.4991169721056726
hdl,0.13267543859649122,2.052293851225957e-07,2.3157894736842106,1.3050702463906336,45.96052631578947,46.094298245614034,0.13377192982456165,6.8074166104476115,9.088290578108593
outcome,0.044956140350877194,0.3154942506534582,0.044956140350877194,0.0005054837184963436,0.5328947368421053,0.48793859649122806,0.04495614035087725,0.4991905169597508,0.500128769984047
