column,ks_statistic,ks_pvalue,emd_score,mse_stats,real_mean,synthetic_mean,mean_diff,real_std,synthetic_std
age,0.09210526315789473,0.0008670507144789717,1.3712310097900444,4.049271331576666,36.31853070175438,37.152628956187,0.8340982544326181,13.521001139835214,14.111017088156627
gender,0.07785087719298246,0.007932209644852362,0.07785087719298245,0.0015668549733228129,0.5515350877192983,0.6293859649122807,0.07785087719298245,0.4976099306830322,0.48323422848889863
rgn,0.24232456140350878,6.651696180044327e-24,0.24232456140350878,0.02928416374809354,0.2894736842105263,0.047149122807017545,0.24232456140350878,0.45376694764541275,0.2120740393237757
wt,0.05043859649122807,0.19638494823645752,0.7849347651853754,9.819745966393432,69.36315789473684,68.99424500179121,0.36891289294563023,12.170321736926711,12.623210152700812
bmi,0.08442982456140351,0.0029910837398523455,0.8366558910697381,9796.631861529877,25.62816447368421,25.69041016968466,0.06224569600045271,8.24765148592567,4.625077852467864
wst,0.09758771929824561,0.0003350551433523507,0.4930314599602438,139.13513528891244,35.46326754385965,35.51670792832608,0.05344038446642685,3.8942266173147297,3.918918615153282
sys,0.12171052631578948,2.6450629100842e-06,5.0964912280701755,314.70935298239647,129.64254385964912,127.17105263157895,2.471491228070178,19.760794248977806,12.852166089990092
dia,0.15021929824561403,2.159051292218667e-09,2.734649122807017,257.9927788262625,82.34758771929825,81.48135964912281,0.8662280701754383,11.83117682218406,9.144028847938829
his,0.18201754385964913,1.2963997530356521e-13,0.18201754385964913,0.009517108043645701,0.5855263157894737,0.7675438596491229,0.1820175438596492,0.49290125142222013,0.42263002045332726
a1c,0.07017543859649122,0.022386251492966254,0.16870814181348226,3.7599784160624985,6.859923245614035,6.901242495685164,0.0413192500711288,2.1964965354687513,2.349036800522464
bsr,0.0537280701754386,0.14374454495663355,4.952850877192979,20.236115946508736,165.47149122807016,164.74890350877192,0.7225877192982466,84.72708986598731,88.77953737014505
vision,0.046052631578947366,0.28831863736533053,0.046052631578947345,0.0005305209300848308,0.48903508771929827,0.5350877192982456,0.046052631578947345,0.5001540387058784,0.49904100456755873
exr,0.47368421052631576,6.6428681932525215e-93,12.145833333333332,1902.712172969546,14.429824561403509,2.2839912280701755,12.145833333333332,15.601848689044498,7.396519657428964
dipsia,0.01864035087719298,0.9974129831022326,0.018640350877192957,9.14005177191813e-05,0.3793859649122807,0.3980263157894737,0.018640350877192957,0.48550047298115956,0.4897595092632141
uria,0.01864035087719298,0.9974129831022326,0.018640350877192957,9.718674670560983e-05,0.32785087719298245,0.34649122807017546,0.018640350877193013,0.4696877395553157,0.47611302600788485
dur,0.19188596491228072,4.312264797264924e-15,0.5229327077338417,61.94636189324766,2.112938596491228,1.6330620650622227,0.47987653142900544,2.964895661540473,1.9511286209070193
neph,0.12390350877192982,1.6148592919035398e-06,0.1239035087719298,0.010618514940288395,0.17105263157894737,0.047149122807017545,0.12390350877192982,0.3767615624551832,0.2120740393237757
hdl,0.046052631578947366,0.28831863736533053,0.42214912280701766,0.048063651184388934,45.96052631578947,46.21600877192982,0.25548245614034926,6.8074166104476115,6.4510694211194926
outcome,0.01206140350877193,0.9999999234443697,0.01206140350877194,3.6474786242727334e-05,0.5328947368421053,0.5208333333333334,0.01206140350877194,0.4991905169597508,0.499839893868405
