Scenario,Description,Accuracy,Interpretation
TRTR (Baseline),"Train Real, Test Real",0.5,Best possible performance
TSTS,"Train Synthetic, Test Synthetic",0.9333333333333333,Internal consistency
TRTS,"Train Real, Test Synthetic",0.7166666666666667,Synthetic data quality
TSTR,"Train Synthetic, Test Real",0.5666666666666667,Synthetic data utility
