Feature,Original_Mean,Synthetic_Mean,Original_Std,Synthetic_Std,Original_Min,Synthetic_Min,Original_Max,Synthetic_Max,Mean_Diff,Std_Diff,Range_Overlap,KS_Statistic,KS_PValue,KS_Similar,Original_Missing,Synthetic_Missing,Original_Unique,Synthetic_Unique
feature1,9.91845806965583,10.297620978355408,1.8620078304140026,0.5043884041700379,4.760509791820511,8.732338905334473,15.440338333179238,11.53956413269043,0.3791629086995769,1.3576194262439647,Yes,0.375,6.540866008411473e-13,No,0,0,200,200
feature2,0.555,0.37,0.49821288662780494,0.48401586418620574,0.0,0.0,1.0,1.0,0.18500000000000005,0.014197022441599205,Yes,0.185,0.0020827633834865906,No,0,0,2,2
target,0.44,0.015,0.49763258630718094,0.12185748327926268,0.0,0.0,1.0,1.0,0.425,0.3757751030279183,Yes,0.425,1.3969162950232394e-16,No,0,0,2,2
