Metric,Value
Combined Score,0.8723667125758612
Final Similarity,0.8740224936693204
Univariate Similarity,0.9310595920277901
Bivariate Similarity,0.7409359308328913
Average Accuracy,0.8698830409356725
TSTR Score,0.8304093567251462
TSTS Score,0.9064327485380117
TRTR Score,0.8713450292397661
TRTS Score,0.8713450292397661
