Feature,Original_Mean,Synthetic_Mean,Mean_Diff,Original_Std,Synthetic_Std,Std_Diff,Original_Min,Synthetic_Min,Original_Max,Synthetic_Max,Range_Overlap,KS_Statistic,KS_PValue,KS_Similar
mean_radius,14.127291679382324,13.678890228271484,0.44840145111083984,3.5240488052368164,3.5111989974975586,0.012849807739257812,6.981,7.5589995,28.11,25.693176,Yes,0.11423550087873462,0.001180483645861275,No
mean_texture,19.289649963378906,19.3698673248291,0.08021736145019531,4.3010358810424805,3.419422149658203,0.8816137313842773,9.71,11.888709,39.28,30.421442,Yes,0.0773286467486819,0.06655339837723516,Yes
mean_perimeter,91.96903228759766,90.86651611328125,1.1025161743164062,24.298980712890625,27.976831436157227,3.6778507232666016,43.79,46.44695,188.5,179.32983,Yes,0.14762741652021089,7.95280860741481e-06,No
mean_area,654.8890380859375,688.6508178710938,33.76177978515625,351.91412353515625,421.8355407714844,69.92141723632812,143.5,171.18001,2501.0,2238.9436,Yes,0.1265377855887522,0.00021735519188785353,No
mean_smoothness,0.09636028110980988,0.09405220299959183,0.002308078110218048,0.014064128510653973,0.01138001773506403,0.002684110775589943,0.05263,0.063047096,0.1634,0.13357604,Yes,0.10720562390158173,0.002870686802205269,No
diagnosis,0.6274165202108963,0.6414762741652021,0.01405975395430581,0.48391795640316865,0.47998892286532785,0.003929033537840798,0.0,0.0,1.0,1.0,Yes,0.014059753954305799,0.9999999972753576,Yes
